chr	TSS	Gene	GWAS	Effect	PIP	FSR
3	122747452	SEMA5B	igap_ad	-0.42 (0.1)	1	0.02
10	69865912	MYPN	igap_ad	-0.43 (0.06)	1	0.01
17	30593195	RHBDL3	igap_ad	1.26 (0.16)	1	0.01
17	30593195	RHBDL3	pgc_asd	-1.25 (0.3)	1	0.02
17	30593195	RHBDL3	pgc_mdd	1.18 (0.2)	1	0.01
17	30593195	RHBDL3	ukbb_ad_mat	-1.47 (0.36)	1	0.02
17	30593195	RHBDL3	ukbb_neuroticism	-1.52 (0.31)	1	0.02
6	64029882	LGSN	igap_ad	-0.17 (0.05)	1	0.02
6	30908749	DPCR1	igap_ad	-2.57 (0.55)	1	0.02
5	43043272	ANXA2R	igap_ad	-2.29 (0.54)	1	0.02
5	43043272	ANXA2R	pgc_scz	8.51 (1.06)	1	0.01
5	43043272	ANXA2R	ukbb_moodswings	5.45 (0.45)	1	0
11	55432614	OR4C6	igap_ad	-0.47 (0.14)	1	0.03
11	55432614	OR4C6	pgc_asd	1.8 (0.27)	1	0.01
1	45272957	TCTEX1D4	igap_ad	0.54 (0.1)	1	0.01
1	45272957	TCTEX1D4	pgc_adhd	0.86 (0.2)	1	0.02
1	45272957	TCTEX1D4	ukbb_neuroticism	0.29 (0.08)	1	0.03
12	33049774	PKP2	pgc_scz	2.37 (0.48)	1	0.01
12	33049774	PKP2	ukbb_neuroticism	0.65 (0.11)	1	0.01
12	33049774	PKP2	ukbb_moodswings	1.09 (0.2)	1	0.01
8	101143496	RGS22	pgc_scz	-0.55 (0.07)	1	0.01
14	68168603	RDH12	pgc_scz	5.99 (0.68)	1	0
14	68168603	RDH12	pgc_asd	-0.45 (0.12)	1	0.03
14	68168603	RDH12	pgc_ocd	2.86 (0.43)	1	0.01
14	68168603	RDH12	ukbb_ad_pat	1.64 (0.21)	1	0.01
14	68168603	RDH12	ukbb_neuroticism	-2.56 (0.26)	1	0
9	116638562	ZNF618	pgc_scz	-0.25 (0.09)	1	0.05
