chr	TSS	Gene	GWAS	Effect	PIP	FSR
17	26800311	SLC13A2	igap_ad	-1.03 (0.11)	1	0
17	26800311	SLC13A2	ukbb_neuroticism	0.1 (0.02)	1	0.02
6	47624172	GPR111	igap_ad	0.15 (0.05)	1	0.04
11	107590419	SLN	igap_ad	0.9 (0.14)	1	0.01
17	45277812	MYL4	igap_ad	1.76 (0.38)	1	0.02
17	45277812	MYL4	pgc_asd	-2.38 (0.35)	1	0.01
1	104159999	AMY2A	igap_ad	-0.1 (0.03)	1	0.03
4	144940492	GYPB	igap_ad	1.49 (0.37)	1	0.02
4	144940492	GYPB	pgc_asd	-0.98 (0.18)	1	0.01
4	144940492	GYPB	ukbb_ad_pat	0.35 (0.11)	1	0.04
14	67878917	PLEK2	pgc_scz	5.73 (0.52)	1	0
14	67878917	PLEK2	pgc_ocd	6.11 (0.5)	1	0
9	32635667	TAF1L	pgc_scz	-0.79 (0.24)	1	0.03
3	46875585	PRSS42	pgc_scz	0.7 (0.13)	1	0.01
3	46875585	PRSS42	pgc_adhd	-0.5 (0.09)	1	0.01
3	46875585	PRSS42	pgc_asd	0.42 (0.07)	1	0.01
3	126277808	C3orf22	pgc_scz	0.16 (0.05)	1	0.03
3	126277808	C3orf22	pgc_mdd	0.41 (0.07)	1	0.01
17	41739322	MEOX1	pgc_adhd	0.4 (0.1)	1	0.02
17	41739322	MEOX1	pgc_ptsd_civ_ea	-0.42 (0.06)	1	0.01
15	43559055	TGM5	pgc_adhd	0.22 (0.05)	1	0.02
15	43559055	TGM5	pgc_ocd	-0.92 (0.14)	1	0.01
4	10686489	CLNK	pgc_adhd	-0.16 (0.04)	1	0.02
5	54318499	ESM1	pgc_adhd	-0.35 (0.06)	1	0.01
16	2016824	RNF151	pgc_adhd	-0.37 (0.04)	1	0
3	49837268	CDHR4	pgc_adhd	0.4 (0.11)	1	0.02
3	49837268	CDHR4	pgc_ocd	0.2 (0.07)	1	0.05
7	141607613	MGAM	pgc_adhd	0.1 (0.03)	1	0.04
7	141646807	CLEC5A	pgc_adhd	-0.14 (0.03)	1	0.01
17	27573881	CRYBA1	pgc_asd	1.68 (0.24)	1	0.01
17	27573881	CRYBA1	pgc_mdd	-1.29 (0.21)	1	0.01
17	27573881	CRYBA1	ukbb_ad_mat	2.03 (0.39)	1	0.01
17	46623441	HOXB2	pgc_asd	1.23 (0.24)	1	0.01
17	43339479	SPATA32	pgc_asd	-2.92 (0.9)	1	0.03
19	22469210	ZNF729	pgc_asd	2.69 (0.18)	1	0
19	22469210	ZNF729	pgc_ptsd_civ_ea	-0.3 (0.05)	1	0.01
19	22469210	ZNF729	ukbb_ad_pat	0.25 (0.04)	1	0.01
19	22469210	ZNF729	ukbb_moodswings	-0.89 (0.1)	1	0
6	29794744	HLA-G	pgc_asd	0.72 (0.09)	1	0.01
6	29794744	HLA-G	pgc_ocd	-1.6 (0.17)	1	0
19	23945807	RPSAP58	pgc_asd	1.3 (0.28)	1	0.02
19	23945807	RPSAP58	ukbb_moodswings	-0.41 (0.13)	1	0.04
17	44439130	ARL17B	pgc_asd	-6.85 (0.53)	1	0
17	44439130	ARL17B	pgc_ocd	1.81 (0.43)	1	0.02
17	44439130	ARL17B	ukbb_ad_mat	-6.18 (0.56)	1	0
17	46710934	HOXB7	pgc_asd	0.58 (0.12)	1	0.02
17	46710934	HOXB7	pgc_ocd	-0.35 (0.05)	1	0.01
3	87325737	POU1F1	pgc_ocd	-0.42 (0.07)	1	0.01
3	87325737	POU1F1	ukbb_ad_mat	0.15 (0.04)	1	0.02
17	44910424	WNT3	pgc_ocd	2.34 (0.61)	1	0.02
5	131892530	IL5	pgc_ocd	-0.09 (0.03)	1	0.03
3	48601206	UCN2	pgc_mdd	-2.06 (0.52)	1	0.02
3	48601206	UCN2	ukbb_ad_mat	-0.16 (0.05)	1	0.04
3	48601206	UCN2	ukbb_ad_pat	-0.39 (0.11)	1	0.03
17	44370099	LRRC37A	pgc_mdd	1.77 (0.61)	1	0.04
7	64330550	ZNF273	pgc_mdd	0.08 (0.03)	1	0.04
7	64330550	ZNF273	ukbb_ad_pat	0.08 (0.02)	1	0.03
17	41836156	SOST	pgc_ptsd_civ_ea	0.24 (0.08)	1	0.03
10	22498950	EBLN1	pgc_ptsd_civ_ea	0.1 (0.03)	1	0.03
20	35890238	GHRH	ukbb_ad_mat	0.81 (0.22)	1	0.03
11	104893895	CASP5	ukbb_ad_mat	0.25 (0.06)	1	0.02
19	22469210	ZNF729	ukbb_ad_mat	2.2 (0.43)	1	0.01
3	48369831	SPINK8	ukbb_ad_mat	0.13 (0.04)	1	0.03
19	36602104	OVOL3	ukbb_ad_pat	-0.2 (0.06)	1	0.03
10	74653339	OIT3	ukbb_neuroticism	-0.08 (0.02)	1	0.03
10	74653339	OIT3	ukbb_moodswings	-0.2 (0.05)	1	0.02
6	64029882	LGSN	ukbb_neuroticism	-0.4 (0.13)	1	0.04
18	51883537	STARD6	ukbb_neuroticism	-0.3 (0.07)	1	0.02
19	35849362	FFAR3	ukbb_neuroticism	0.11 (0.04)	1	0.04
5	44389808	FGF10	ukbb_moodswings	0.69 (0.13)	1	0.01
